,0,1,2,3,4,5,6,7,8,9,10,11
27,7000.0,7025.0,7075.0,6900.0,7000.0,7250.0,7225.0,7050.0,6925.0,7075.0,7175.0,7100.0
28,7025.0,7075.0,6900.0,7000.0,7250.0,7225.0,7050.0,6925.0,7075.0,7175.0,7100.0,7050.0
29,7075.0,6900.0,7000.0,7250.0,7225.0,7050.0,6925.0,7075.0,7175.0,7100.0,7050.0,6925.0
30,6900.0,7000.0,7250.0,7225.0,7050.0,6925.0,7075.0,7175.0,7100.0,7050.0,6925.0,6975.0
31,7000.0,7250.0,7225.0,7050.0,6925.0,7075.0,7175.0,7100.0,7050.0,6925.0,6975.0,7000.0
32,7250.0,7225.0,7050.0,6925.0,7075.0,7175.0,7100.0,7050.0,6925.0,6975.0,7000.0,7000.0
33,7225.0,7050.0,6925.0,7075.0,7175.0,7100.0,7050.0,6925.0,6975.0,7000.0,7000.0,6900.0
34,7050.0,6925.0,7075.0,7175.0,7100.0,7050.0,6925.0,6975.0,7000.0,7000.0,6900.0,6900.0
35,6925.0,7075.0,7175.0,7100.0,7050.0,6925.0,6975.0,7000.0,7000.0,6900.0,6900.0,6875.0
36,7075.0,7175.0,7100.0,7050.0,6925.0,6975.0,7000.0,7000.0,6900.0,6900.0,6875.0,6525.0
37,7175.0,7100.0,7050.0,6925.0,6975.0,7000.0,7000.0,6900.0,6900.0,6875.0,6525.0,6450.0
38,7100.0,7050.0,6925.0,6975.0,7000.0,7000.0,6900.0,6900.0,6875.0,6525.0,6450.0,6475.0
39,7050.0,6925.0,6975.0,7000.0,7000.0,6900.0,6900.0,6875.0,6525.0,6450.0,6475.0,6350.0
40,6925.0,6975.0,7000.0,7000.0,6900.0,6900.0,6875.0,6525.0,6450.0,6475.0,6350.0,6450.0
41,6975.0,7000.0,7000.0,6900.0,6900.0,6875.0,6525.0,6450.0,6475.0,6350.0,6450.0,6425.0
42,7000.0,7000.0,6900.0,6900.0,6875.0,6525.0,6450.0,6475.0,6350.0,6450.0,6425.0,6500.0
